Percentile_Label,Threshold_Value,Dataset,Target,Metric,Type,r,p_value,Bins,Min_Cnt,Control
p05,0.0037,humaneval,Score,lm_cc,Partial,0.333577243570969,0.3161014992971864,11,14,loc
p05,0.0037,humaneval,Score,lm_cc,Zero-Order,-0.7147373770955345,0.020184229377264665,10,16,None
p05,0.0037,humaneval,Score,num_semantic_units,Partial,0.17279834134369781,0.6113935718976977,11,14,loc
p05,0.0037,humaneval,Score,num_semantic_units,Zero-Order,-0.8151548326115373,0.0074237813734946275,9,18,None
p05,0.0037,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9663069242700361,3.230380853267631e-96,N/A,N/A,None
p05,0.0037,xcodeeval_apr,Score,lm_cc,Partial,0.3173087423556182,0.34169815905545353,11,23,loc
p05,0.0037,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9623515200690814,3.285856459769502e-05,9,29,None
p05,0.0037,xcodeeval_apr,Score,num_semantic_units,Partial,-0.28242925045505746,0.4615254697813968,9,30,loc
p05,0.0037,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.8666666666666667,0.002495398285990204,9,30,None
p05,0.0037,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.887155487759188,2.4716173151042803e-92,N/A,N/A,None
p05,0.0037,xcodeeval_code_translation,Score,lm_cc,Partial,-0.22456942151983691,0.5613037558103391,9,54,loc
p05,0.0037,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.9500000000000001,8.762523965086185e-05,9,59,None
p05,0.0037,xcodeeval_code_translation,Score,num_semantic_units,Partial,0.11513689471618915,0.7680207602860993,9,57,loc
p05,0.0037,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.8033543124054942,0.009106405386877995,9,56,None
p05,0.0037,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9639353446239984,1.364439271846616e-308,N/A,N/A,None
p10,0.0114,humaneval,Score,lm_cc,Partial,0.333577243570969,0.3161014992971864,11,14,loc
p10,0.0114,humaneval,Score,lm_cc,Zero-Order,-0.7147373770955345,0.020184229377264665,10,16,None
p10,0.0114,humaneval,Score,num_semantic_units,Partial,0.17279834134369781,0.6113935718976977,11,14,loc
p10,0.0114,humaneval,Score,num_semantic_units,Zero-Order,-0.8151548326115373,0.0074237813734946275,9,18,None
p10,0.0114,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9663069242700361,3.230380853267631e-96,N/A,N/A,None
p10,0.0114,xcodeeval_apr,Score,lm_cc,Partial,0.30042935612827065,0.3693648827121117,11,23,loc
p10,0.0114,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9500000000000001,8.762523965086185e-05,9,30,None
p10,0.0114,xcodeeval_apr,Score,num_semantic_units,Partial,0.250199537105754,0.4580730889987286,11,23,loc
p10,0.0114,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.9372466978064098,0.0001916313422657425,9,28,None
p10,0.0114,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.8837950230075946,1.010676336022722e-90,N/A,N/A,None
p10,0.0114,xcodeeval_code_translation,Score,lm_cc,Partial,-0.22456942151983691,0.5613037558103391,9,54,loc
p10,0.0114,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.9500000000000001,8.762523965086185e-05,9,59,None
p10,0.0114,xcodeeval_code_translation,Score,num_semantic_units,Partial,0.11513689471618915,0.7680207602860993,9,57,loc
p10,0.0114,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.8033543124054942,0.009106405386877995,9,56,None
p10,0.0114,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9639353446239984,1.364439271846616e-308,N/A,N/A,None
p15,0.0214,humaneval,Score,lm_cc,Partial,0.333577243570969,0.3161014992971864,11,14,loc
p15,0.0214,humaneval,Score,lm_cc,Zero-Order,-0.7147373770955345,0.020184229377264665,10,16,None
p15,0.0214,humaneval,Score,num_semantic_units,Partial,0.17279834134369781,0.6113935718976977,11,14,loc
p15,0.0214,humaneval,Score,num_semantic_units,Zero-Order,-0.8151548326115373,0.0074237813734946275,9,18,None
p15,0.0214,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9663069242700361,3.230380853267631e-96,N/A,N/A,None
p15,0.0214,xcodeeval_apr,Score,lm_cc,Partial,0.3991489008940647,0.22394629183144607,11,24,loc
p15,0.0214,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9500000000000001,8.762523965086185e-05,9,30,None
p15,0.0214,xcodeeval_apr,Score,num_semantic_units,Partial,-0.269373197450386,0.4833460657122395,9,30,loc
p15,0.0214,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.9030303030303028,0.0003436121977632824,10,27,None
